Cluster 0: size = 49 (WT = 49)
Cluster 1: size = 27 (WT = 27)
ORF,plate,date,row,col,cluster
YOR202W,add4,4/26/12,1,1,0
YOR202W,add4,4/26/12,1,2,0
YOR202W,add4,4/26/12,1,3,0
YOR202W,add4,4/26/12,1,4,0
YOR202W,add4,4/26/12,1,5,0
YOR202W,add4,4/26/12,1,6,0
YOR202W,add4,4/26/12,1,7,0
YOR202W,add4,4/26/12,1,8,0
YOR202W,add4,4/26/12,1,9,0
YOR202W,add4,4/26/12,1,10,0
YOR202W,add4,4/26/12,1,11,0
YOR202W,add4,4/26/12,1,12,0
YOR202W,add4,4/26/12,1,13,0
YOR202W,add4,4/26/12,1,14,0
YOR202W,add4,4/26/12,1,15,0
YOR202W,add4,4/26/12,1,16,0
YOR202W,add4,4/26/12,1,17,0
YOR202W,add4,4/26/12,1,18,0
YOR202W,add4,4/26/12,1,19,1
YOR202W,add4,4/26/12,1,20,1
YOR202W,add4,4/26/12,1,21,1
YOR202W,add4,4/26/12,1,22,1
YOR202W,add4,4/26/12,1,23,1
YOR202W,add4,4/26/12,1,24,1
YOR202W,add4,4/26/12,2,1,0
YOR202W,add4,4/26/12,2,24,1
YOR202W,add4,4/26/12,3,1,0
YOR202W,add4,4/26/12,3,24,1
YOR202W,add4,4/26/12,4,1,0
YOR202W,add4,4/26/12,4,24,1
YOR202W,add4,4/26/12,5,1,1
YOR202W,add4,4/26/12,5,24,0
YOR202W,add4,4/26/12,6,1,0
YOR202W,add4,4/26/12,6,24,1
YOR202W,add4,4/26/12,7,1,0
YOR202W,add4,4/26/12,7,24,1
YOR202W,add4,4/26/12,8,1,0
YOR202W,add4,4/26/12,8,24,1
YOR202W,add4,4/26/12,9,1,0
YOR202W,add4,4/26/12,9,24,1
YOR202W,add4,4/26/12,10,1,0
YOR202W,add4,4/26/12,10,24,0
YOR202W,add4,4/26/12,11,1,0
YOR202W,add4,4/26/12,11,24,0
YOR202W,add4,4/26/12,12,1,0
YOR202W,add4,4/26/12,12,24,1
YOR202W,add4,4/26/12,13,1,0
YOR202W,add4,4/26/12,13,24,1
YOR202W,add4,4/26/12,14,1,0
YOR202W,add4,4/26/12,14,24,1
YOR202W,add4,4/26/12,15,1,0
YOR202W,add4,4/26/12,15,24,1
YOR202W,add4,4/26/12,16,1,0
YOR202W,add4,4/26/12,16,2,0
YOR202W,add4,4/26/12,16,3,0
YOR202W,add4,4/26/12,16,4,0
YOR202W,add4,4/26/12,16,5,0
YOR202W,add4,4/26/12,16,6,0
YOR202W,add4,4/26/12,16,7,0
YOR202W,add4,4/26/12,16,8,0
YOR202W,add4,4/26/12,16,9,0
YOR202W,add4,4/26/12,16,10,0
YOR202W,add4,4/26/12,16,11,1
YOR202W,add4,4/26/12,16,12,0
YOR202W,add4,4/26/12,16,13,0
YOR202W,add4,4/26/12,16,14,0
YOR202W,add4,4/26/12,16,15,0
YOR202W,add4,4/26/12,16,16,1
YOR202W,add4,4/26/12,16,17,1
YOR202W,add4,4/26/12,16,18,1
YOR202W,add4,4/26/12,16,19,1
YOR202W,add4,4/26/12,16,20,1
YOR202W,add4,4/26/12,16,21,1
YOR202W,add4,4/26/12,16,22,1
YOR202W,add4,4/26/12,16,23,0
YOR202W,add4,4/26/12,16,24,1
