Cluster 0: size = 5 (WT = 5)
Cluster 1: size = 14 (WT = 14)
Cluster 2: size = 15 (WT = 15)
Cluster 3: size = 22 (WT = 22)
Cluster 4: size = 20 (WT = 20)
ORF,plate,date,row,col,cluster
YOR202W,add4,4/26/12,1,1,4
YOR202W,add4,4/26/12,1,2,3
YOR202W,add4,4/26/12,1,3,3
YOR202W,add4,4/26/12,1,4,3
YOR202W,add4,4/26/12,1,5,3
YOR202W,add4,4/26/12,1,6,3
YOR202W,add4,4/26/12,1,7,3
YOR202W,add4,4/26/12,1,8,3
YOR202W,add4,4/26/12,1,9,3
YOR202W,add4,4/26/12,1,10,3
YOR202W,add4,4/26/12,1,11,3
YOR202W,add4,4/26/12,1,12,1
YOR202W,add4,4/26/12,1,13,3
YOR202W,add4,4/26/12,1,14,3
YOR202W,add4,4/26/12,1,15,3
YOR202W,add4,4/26/12,1,16,2
YOR202W,add4,4/26/12,1,17,4
YOR202W,add4,4/26/12,1,18,3
YOR202W,add4,4/26/12,1,19,3
YOR202W,add4,4/26/12,1,20,4
YOR202W,add4,4/26/12,1,21,0
YOR202W,add4,4/26/12,1,22,2
YOR202W,add4,4/26/12,1,23,2
YOR202W,add4,4/26/12,1,24,2
YOR202W,add4,4/26/12,2,1,4
YOR202W,add4,4/26/12,2,24,2
YOR202W,add4,4/26/12,3,1,4
YOR202W,add4,4/26/12,3,24,2
YOR202W,add4,4/26/12,4,1,1
YOR202W,add4,4/26/12,4,24,4
YOR202W,add4,4/26/12,5,1,2
YOR202W,add4,4/26/12,5,24,3
YOR202W,add4,4/26/12,6,1,1
YOR202W,add4,4/26/12,6,24,2
YOR202W,add4,4/26/12,7,1,1
YOR202W,add4,4/26/12,7,24,0
YOR202W,add4,4/26/12,8,1,1
YOR202W,add4,4/26/12,8,24,4
YOR202W,add4,4/26/12,9,1,1
YOR202W,add4,4/26/12,9,24,2
YOR202W,add4,4/26/12,10,1,3
YOR202W,add4,4/26/12,10,24,3
YOR202W,add4,4/26/12,11,1,3
YOR202W,add4,4/26/12,11,24,3
YOR202W,add4,4/26/12,12,1,1
YOR202W,add4,4/26/12,12,24,4
YOR202W,add4,4/26/12,13,1,3
YOR202W,add4,4/26/12,13,24,2
YOR202W,add4,4/26/12,14,1,1
YOR202W,add4,4/26/12,14,24,2
YOR202W,add4,4/26/12,15,1,3
YOR202W,add4,4/26/12,15,24,2
YOR202W,add4,4/26/12,16,1,4
YOR202W,add4,4/26/12,16,2,1
YOR202W,add4,4/26/12,16,3,1
YOR202W,add4,4/26/12,16,4,1
YOR202W,add4,4/26/12,16,5,1
YOR202W,add4,4/26/12,16,6,1
YOR202W,add4,4/26/12,16,7,4
YOR202W,add4,4/26/12,16,8,4
YOR202W,add4,4/26/12,16,9,4
YOR202W,add4,4/26/12,16,10,4
YOR202W,add4,4/26/12,16,11,0
YOR202W,add4,4/26/12,16,12,4
YOR202W,add4,4/26/12,16,13,4
YOR202W,add4,4/26/12,16,14,4
YOR202W,add4,4/26/12,16,15,4
YOR202W,add4,4/26/12,16,16,4
YOR202W,add4,4/26/12,16,17,2
YOR202W,add4,4/26/12,16,18,2
YOR202W,add4,4/26/12,16,19,4
YOR202W,add4,4/26/12,16,20,4
YOR202W,add4,4/26/12,16,21,0
YOR202W,add4,4/26/12,16,22,2
YOR202W,add4,4/26/12,16,23,1
YOR202W,add4,4/26/12,16,24,0
