Cluster 0: size = 130 (WT = 130)
Cluster 1: size = 278 (WT = 278)
Cluster 2: size = 184 (WT = 184)
ORF,plate,date,row,col,cluster
YOR202W,TS1-37,12/01/11,1,1,0
YOR202W,TS1-37,12/01/11,1,2,0
YOR202W,TS1-37,12/01/11,1,3,1
YOR202W,TS1-37,12/01/11,1,4,1
YOR202W,TS1-37,12/01/11,1,5,1
YOR202W,TS1-37,12/01/11,1,6,1
YOR202W,TS1-37,12/01/11,1,7,2
YOR202W,TS1-37,12/01/11,1,8,2
YOR202W,TS1-37,12/01/11,1,9,2
YOR202W,TS1-37,12/01/11,1,10,1
YOR202W,TS1-37,12/01/11,1,11,1
YOR202W,TS1-37,12/01/11,1,12,1
YOR202W,TS1-37,12/01/11,1,13,2
YOR202W,TS1-37,12/01/11,1,14,2
YOR202W,TS1-37,12/01/11,1,15,2
YOR202W,TS1-37,12/01/11,1,16,2
YOR202W,TS1-37,12/01/11,1,17,2
YOR202W,TS1-37,12/01/11,1,18,2
YOR202W,TS1-37,12/01/11,1,19,2
YOR202W,TS1-37,12/01/11,1,20,2
YOR202W,TS1-37,12/01/11,1,21,2
YOR202W,TS1-37,12/01/11,1,22,2
YOR202W,TS1-37,12/01/11,1,23,2
YOR202W,TS1-37,12/01/11,1,24,2
YOR202W,TS1-37,12/01/11,2,1,0
YOR202W,TS1-37,12/01/11,2,24,2
YOR202W,TS1-37,12/01/11,3,1,0
YOR202W,TS1-37,12/01/11,3,24,2
YOR202W,TS1-37,12/01/11,4,1,0
YOR202W,TS1-37,12/01/11,4,24,2
YOR202W,TS1-37,12/01/11,5,1,0
YOR202W,TS1-37,12/01/11,5,24,2
YOR202W,TS1-37,12/01/11,6,1,0
YOR202W,TS1-37,12/01/11,6,24,2
YOR202W,TS1-37,12/01/11,7,1,0
YOR202W,TS1-37,12/01/11,7,24,2
YOR202W,TS1-37,12/01/11,8,1,0
YOR202W,TS1-37,12/01/11,8,24,2
YOR202W,TS1-37,12/01/11,9,1,0
YOR202W,TS1-37,12/01/11,9,24,2
YOR202W,TS1-37,12/01/11,10,1,0
YOR202W,TS1-37,12/01/11,10,24,2
YOR202W,TS1-37,12/01/11,11,1,0
YOR202W,TS1-37,12/01/11,11,24,2
YOR202W,TS1-37,12/01/11,12,1,0
YOR202W,TS1-37,12/01/11,12,24,2
YOR202W,TS1-37,12/01/11,13,1,0
YOR202W,TS1-37,12/01/11,13,24,2
YOR202W,TS1-37,12/01/11,14,1,0
YOR202W,TS1-37,12/01/11,14,24,2
YOR202W,TS1-37,12/01/11,15,1,0
YOR202W,TS1-37,12/01/11,15,24,2
YOR202W,TS1-37,12/01/11,16,1,0
YOR202W,TS1-37,12/01/11,16,2,0
YOR202W,TS1-37,12/01/11,16,3,1
YOR202W,TS1-37,12/01/11,16,4,1
YOR202W,TS1-37,12/01/11,16,5,1
YOR202W,TS1-37,12/01/11,16,6,1
YOR202W,TS1-37,12/01/11,16,7,2
YOR202W,TS1-37,12/01/11,16,8,1
YOR202W,TS1-37,12/01/11,16,9,2
YOR202W,TS1-37,12/01/11,16,10,1
YOR202W,TS1-37,12/01/11,16,11,2
YOR202W,TS1-37,12/01/11,16,12,1
YOR202W,TS1-37,12/01/11,16,13,2
YOR202W,TS1-37,12/01/11,16,14,2
YOR202W,TS1-37,12/01/11,16,15,2
YOR202W,TS1-37,12/01/11,16,16,2
YOR202W,TS1-37,12/01/11,16,17,1
YOR202W,TS1-37,12/01/11,16,18,2
YOR202W,TS1-37,12/01/11,16,19,2
YOR202W,TS1-37,12/01/11,16,20,2
YOR202W,TS1-37,12/01/11,16,21,2
YOR202W,TS1-37,12/01/11,16,22,2
YOR202W,TS1-37,12/01/11,16,23,2
YOR202W,TS1-37,12/01/11,16,24,2
YOR202W,TS1-RT,12/01/11,1,1,1
YOR202W,TS1-RT,12/01/11,1,2,0
YOR202W,TS1-RT,12/01/11,1,3,1
YOR202W,TS1-RT,12/01/11,1,4,1
YOR202W,TS1-RT,12/01/11,1,5,0
YOR202W,TS1-RT,12/01/11,1,6,1
YOR202W,TS1-RT,12/01/11,1,7,1
YOR202W,TS1-RT,12/01/11,1,8,1
YOR202W,TS1-RT,12/01/11,1,9,1
YOR202W,TS1-RT,12/01/11,1,10,0
YOR202W,TS1-RT,12/01/11,1,11,1
YOR202W,TS1-RT,12/01/11,1,12,0
YOR202W,TS1-RT,12/01/11,1,13,1
YOR202W,TS1-RT,12/01/11,1,14,0
YOR202W,TS1-RT,12/01/11,1,15,0
YOR202W,TS1-RT,12/01/11,1,16,0
YOR202W,TS1-RT,12/01/11,1,17,1
YOR202W,TS1-RT,12/01/11,1,18,1
YOR202W,TS1-RT,12/01/11,1,19,1
YOR202W,TS1-RT,12/01/11,1,20,1
YOR202W,TS1-RT,12/01/11,1,21,1
YOR202W,TS1-RT,12/01/11,1,22,0
YOR202W,TS1-RT,12/01/11,1,23,1
YOR202W,TS1-RT,12/01/11,1,24,1
YOR202W,TS1-RT,12/01/11,2,1,0
YOR202W,TS1-RT,12/01/11,2,24,1
YOR202W,TS1-RT,12/01/11,3,1,1
