ORF,plate,date,row,col,class,proba
YJL094C,add1,4/26/12,2,2,0,1.00000,0.00000
YDL182W,add1,4/26/12,2,3,0,1.00000,0.00000
YML103C,add1,4/26/12,2,4,0,1.00000,0.00000
YEL013W,add1,4/26/12,2,5,1,0.00000,1.00000
YDL059C,add1,4/26/12,2,6,0,1.00000,0.00000
YDL172C,add1,4/26/12,2,7,0,1.00000,0.00000
YBR183W,add1,4/26/12,2,8,0,1.00000,0.00000
YOR300W,add1,4/26/12,2,9,0,1.00000,0.00000
YOR342C,add1,4/26/12,2,10,0,1.00000,0.00000
YDR359C,add1,4/26/12,2,11,1,0.00000,1.00000
YCL075W,add1,4/26/12,2,12,0,0.99999,0.00001
YDL024C,add1,4/26/12,2,13,0,1.00000,0.00000
YBR132C,add1,4/26/12,2,14,1,0.00081,0.99919
YJL037W,add1,4/26/12,2,15,0,1.00000,0.00000
YBR222C,add1,4/26/12,2,17,0,1.00000,0.00000
YOR351C,add1,4/26/12,2,18,0,0.99205,0.00795
YHR057C,add1,4/26/12,2,19,0,1.00000,0.00000
YEL033W,add1,4/26/12,2,21,0,1.00000,0.00000
YPR017C,add1,4/26/12,2,22,0,0.98036,0.01964
YDR159W,add1,4/26/12,2,23,0,0.99872,0.00128
YJL099W,add1,4/26/12,3,2,0,1.00000,0.00000
YER149C,add1,4/26/12,3,3,1,0.00000,1.00000
YCR065W,add1,4/26/12,3,4,0,1.00000,0.00000
YDL011C,add1,4/26/12,3,5,0,1.00000,0.00000
YDR031W,add1,4/26/12,3,6,0,1.00000,0.00000
YBL032W,add1,4/26/12,3,7,0,1.00000,0.00000
YDR368W,add1,4/26/12,3,8,0,1.00000,0.00000
YGL167C,add1,4/26/12,3,9,0,1.00000,0.00000
YJL131C,add1,4/26/12,3,10,1,0.00000,1.00000
YPR061C,add1,4/26/12,3,11,0,1.00000,0.00000
YPL147W,add1,4/26/12,3,12,0,1.00000,0.00000
YNL080C,add1,4/26/12,3,13,0,1.00000,0.00000
YOR288C,add1,4/26/12,3,14,0,1.00000,0.00000
YGL132W,add1,4/26/12,3,15,0,1.00000,0.00000
YAR027W,add1,4/26/12,3,17,0,1.00000,0.00000
YNR021W,add1,4/26/12,3,18,0,1.00000,0.00000
YGR255C,add1,4/26/12,3,19,0,1.00000,0.00000
YML051W,add1,4/26/12,3,20,0,1.00000,0.00000
YCL056C,add1,4/26/12,3,21,0,1.00000,0.00000
YPR122W,add1,4/26/12,3,22,0,1.00000,0.00000
YOR243C,add1,4/26/12,3,23,0,1.00000,0.00000
YMR144W,add1,4/26/12,4,2,0,1.00000,0.00000
YPL022W,add1,4/26/12,4,3,0,1.00000,0.00000
YCL061C,add1,4/26/12,4,4,0,1.00000,0.00000
YFL035C-B,add1,4/26/12,4,5,0,1.00000,0.00000
YDL027C,add1,4/26/12,4,6,0,1.00000,0.00000
YGR295C,add1,4/26/12,4,8,0,1.00000,0.00000
YBR250W,add1,4/26/12,4,9,0,1.00000,0.00000
YIR005W,add1,4/26/12,4,10,0,1.00000,0.00000
YBR022W,add1,4/26/12,4,11,0,1.00000,0.00000
YKL015W,add1,4/26/12,4,12,0,0.99999,0.00001
YML038C,add1,4/26/12,4,13,1,0.00000,1.00000
YOL116W,add1,4/26/12,4,14,0,1.00000,0.00000
YDL177C,add1,4/26/12,4,15,0,1.00000,0.00000
YOR193W,add1,4/26/12,4,16,0,1.00000,0.00000
YBR137W,add1,4/26/12,4,17,0,1.00000,0.00000
YER151C,add1,4/26/12,4,18,1,0.00000,1.00000
YBR006W,add1,4/26/12,4,19,0,0.99992,0.00008
YBR235W,add1,4/26/12,4,20,0,0.98409,0.01591
YOR334W,add1,4/26/12,4,21,0,1.00000,0.00000
YJL042W,add1,4/26/12,4,22,1,0.00000,1.00000
YPL134C,add1,4/26/12,4,23,0,1.00000,0.00000
YPL021W,add1,4/26/12,5,3,0,1.00000,0.00000
YPL138C,add1,4/26/12,5,4,0,1.00000,0.00000
YOL105C,add1,4/26/12,5,5,0,1.00000,0.00000
YOR188W,add1,4/26/12,5,6,0,0.80529,0.19471
YPL098C,add1,4/26/12,5,7,0,1.00000,0.00000
YBR059C,add1,4/26/12,5,8,0,1.00000,0.00000
YEL056W,add1,4/26/12,5,9,0,1.00000,0.00000
YLR015W,add1,4/26/12,5,10,0,1.00000,0.00000
YCR025C,add1,4/26/12,5,11,0,0.99920,0.00080
YBR009C,add1,4/26/12,5,12,0,1.00000,0.00000
YOR317W,add1,4/26/12,5,13,0,0.99992,0.00008
YER066C-A,add1,4/26/12,5,14,0,0.99994,0.00006
YOR171C,add1,4/26/12,5,15,0,1.00000,0.00000
YER152C,add1,4/26/12,5,16,0,1.00000,0.00000
YOL073C,add1,4/26/12,5,17,0,1.00000,0.00000
YBR036C,add1,4/26/12,5,18,0,1.00000,0.00000
YOR248W,add1,4/26/12,5,19,0,1.00000,0.00000
YPL037C,add1,4/26/12,5,20,0,1.00000,0.00000
YPL239W,add1,4/26/12,5,21,0,1.00000,0.00000
YBR012C,add1,4/26/12,5,22,0,1.00000,0.00000
YBR128C,add1,4/26/12,5,23,0,1.00000,0.00000
YBR139W,add1,4/26/12,6,2,0,1.00000,0.00000
YDR461W,add1,4/26/12,6,3,0,1.00000,0.00000
YJL207C,add1,4/26/12,6,4,0,1.00000,0.00000
YNL053W,add1,4/26/12,6,5,0,1.00000,0.00000
YDL222C,add1,4/26/12,6,7,0,1.00000,0.00000
YER108C,add1,4/26/12,6,8,0,1.00000,0.00000
YJR095W,add1,4/26/12,6,9,0,1.00000,0.00000
YBR104W,add1,4/26/12,6,10,0,0.99993,0.00007
YBR161W,add1,4/26/12,6,11,1,0.00006,0.99994
YIL064W,add1,4/26/12,6,13,0,1.00000,0.00000
YOL081W,add1,4/26/12,6,14,0,1.00000,0.00000
YDL027C,add1,4/26/12,6,15,0,1.00000,0.00000
YIL060W,add1,4/26/12,6,16,0,1.00000,0.00000
YOR183W,add1,4/26/12,6,17,0,0.99888,0.00112
YPL056C,add1,4/26/12,6,18,1,0.00000,1.00000
YPL003W,add1,4/26/12,6,19,0,1.00000,0.00000
YGL151W,add1,4/26/12,6,20,0,1.00000,0.00000
