ORF,plate,date,row,col,class,score
YJL094C,add1,4/26/12,2,2,1,98.90744
YDL182W,add1,4/26/12,2,3,1,60.37288
YML103C,add1,4/26/12,2,4,1,81.25506
YEL013W,add1,4/26/12,2,5,-1,-20.22461
YDL059C,add1,4/26/12,2,6,1,106.07597
YDL172C,add1,4/26/12,2,7,1,52.63188
YBR183W,add1,4/26/12,2,8,1,61.70339
YOR300W,add1,4/26/12,2,9,1,89.05205
YOR342C,add1,4/26/12,2,10,1,20.00897
YDR359C,add1,4/26/12,2,11,1,103.55388
YCL075W,add1,4/26/12,2,12,1,95.55730
YDL024C,add1,4/26/12,2,13,1,77.51835
YBR132C,add1,4/26/12,2,14,1,56.64083
YJL037W,add1,4/26/12,2,15,1,31.54100
YBR222C,add1,4/26/12,2,17,1,40.28396
YOR351C,add1,4/26/12,2,18,1,66.02566
YHR057C,add1,4/26/12,2,19,1,26.69964
YEL033W,add1,4/26/12,2,21,1,59.97384
YPR017C,add1,4/26/12,2,22,1,46.81609
YDR159W,add1,4/26/12,2,23,1,71.27593
YJL099W,add1,4/26/12,3,2,1,33.13261
YER149C,add1,4/26/12,3,3,1,50.67952
YCR065W,add1,4/26/12,3,4,1,69.33718
YDL011C,add1,4/26/12,3,5,1,52.86254
YDR031W,add1,4/26/12,3,6,1,91.58451
YBL032W,add1,4/26/12,3,7,1,1.00376
YDR368W,add1,4/26/12,3,8,1,22.54493
YGL167C,add1,4/26/12,3,9,1,25.15651
YJL131C,add1,4/26/12,3,10,1,51.40848
YPR061C,add1,4/26/12,3,11,1,57.22636
YPL147W,add1,4/26/12,3,12,1,86.94941
YNL080C,add1,4/26/12,3,13,1,18.87423
YOR288C,add1,4/26/12,3,14,1,72.78154
YGL132W,add1,4/26/12,3,15,1,56.69925
YAR027W,add1,4/26/12,3,17,1,106.91639
YNR021W,add1,4/26/12,3,18,1,50.55276
YGR255C,add1,4/26/12,3,19,1,3.16259
YML051W,add1,4/26/12,3,20,1,17.62732
YCL056C,add1,4/26/12,3,21,1,14.42839
YPR122W,add1,4/26/12,3,22,1,57.73433
YOR243C,add1,4/26/12,3,23,1,101.88021
YMR144W,add1,4/26/12,4,2,1,91.86024
YPL022W,add1,4/26/12,4,3,1,31.07768
YCL061C,add1,4/26/12,4,4,1,50.46831
YFL035C-B,add1,4/26/12,4,5,1,70.42082
YDL027C,add1,4/26/12,4,6,1,111.39512
YGR295C,add1,4/26/12,4,8,1,92.35445
YBR250W,add1,4/26/12,4,9,1,42.53458
YIR005W,add1,4/26/12,4,10,1,63.26408
YBR022W,add1,4/26/12,4,11,1,53.78610
YKL015W,add1,4/26/12,4,12,1,20.45074
YML038C,add1,4/26/12,4,13,1,50.61533
YOL116W,add1,4/26/12,4,14,1,97.52978
YDL177C,add1,4/26/12,4,15,1,42.43219
YOR193W,add1,4/26/12,4,16,1,44.19929
YBR137W,add1,4/26/12,4,17,1,28.48025
YER151C,add1,4/26/12,4,18,1,69.14436
YBR006W,add1,4/26/12,4,19,1,66.30902
YBR235W,add1,4/26/12,4,20,1,40.96048
YOR334W,add1,4/26/12,4,21,1,27.82442
YJL042W,add1,4/26/12,4,22,1,4.37882
YPL134C,add1,4/26/12,4,23,1,66.05669
YPL021W,add1,4/26/12,5,3,1,61.06949
YPL138C,add1,4/26/12,5,4,1,60.47222
YOL105C,add1,4/26/12,5,5,1,70.82969
YOR188W,add1,4/26/12,5,6,1,48.61729
YPL098C,add1,4/26/12,5,7,1,73.71783
YBR059C,add1,4/26/12,5,8,1,2.94969
YEL056W,add1,4/26/12,5,9,1,28.79308
YLR015W,add1,4/26/12,5,10,1,65.19947
YCR025C,add1,4/26/12,5,11,1,59.04130
YBR009C,add1,4/26/12,5,12,1,59.21187
YOR317W,add1,4/26/12,5,13,1,78.43536
YER066C-A,add1,4/26/12,5,14,1,33.92297
YOR171C,add1,4/26/12,5,15,1,23.96187
YER152C,add1,4/26/12,5,16,1,12.24089
YOL073C,add1,4/26/12,5,17,1,32.74704
YBR036C,add1,4/26/12,5,18,1,74.14688
YOR248W,add1,4/26/12,5,19,1,95.91125
YPL037C,add1,4/26/12,5,20,1,89.14338
YPL239W,add1,4/26/12,5,21,1,28.12448
YBR012C,add1,4/26/12,5,22,1,61.18955
YBR128C,add1,4/26/12,5,23,-1,-1.55378
YBR139W,add1,4/26/12,6,2,1,72.15248
YDR461W,add1,4/26/12,6,3,-1,-3.75405
YJL207C,add1,4/26/12,6,4,1,58.96032
YNL053W,add1,4/26/12,6,5,1,17.82555
YDL222C,add1,4/26/12,6,7,1,83.04353
YER108C,add1,4/26/12,6,8,1,67.19691
YJR095W,add1,4/26/12,6,9,1,94.32319
YBR104W,add1,4/26/12,6,10,1,44.51450
YBR161W,add1,4/26/12,6,11,1,46.19223
YIL064W,add1,4/26/12,6,13,1,27.92326
YOL081W,add1,4/26/12,6,14,-1,-7.17031
YDL027C,add1,4/26/12,6,15,1,37.77530
YIL060W,add1,4/26/12,6,16,1,47.88641
YOR183W,add1,4/26/12,6,17,1,75.82967
YPL056C,add1,4/26/12,6,18,1,55.36706
YPL003W,add1,4/26/12,6,19,1,64.69465
