ORF,plate,date,row,col,class,score
YEL013W,add1,4/26/12,2,5,-1,-20.22461
YOL081W,add1,4/26/12,6,14,-1,-7.17031
YOR106W,add1,4/26/12,8,16,-1,-13.41533
YPL261C,add1,4/26/12,15,12,-1,-6.42989
YPR170C,add4,4/26/12,2,14,-1,-10.88689
YOR309C,add4,4/26/12,6,11,-1,-5.27401
YDR435C,add4,4/26/12,6,14,-1,-0.17920
YOL151W,add4,4/26/12,7,13,-1,-14.43893
YBR093C,add4,4/26/12,13,13,-1,-1.02963
YER151C,rmkDM,06/19/12,2,4,-1,-19.58162
YPL047W,rmkDM,06/19/12,6,12,-1,-15.10287
YDR080W,rmkDM,06/18/12,7,7,-1,-7.69410
YOR106W,rmkDM,06/19/12,10,11,-1,-10.63227
YDR207C,rmkDM,06/19/12,12,10,-1,-0.88764
YMR154C,10,12/10/11,2,11,-1,-1.63376
YLR443W,10,12/10/11,7,22,-1,-2.17015
YMR223W,10,12/10/11,12,5,-1,-3.62475
YNL136W,11,12/10/11,2,16,-1,-17.94255
YNL300W,11,12/10/11,6,5,-1,-9.16364
YNL179C,11,12/10/11,6,8,-1,-19.45869
YNL065W,11,12/10/11,7,9,-1,-8.02826
YNL069C,11,12/10/11,9,23,-1,-2.17716
YNL325C,11,12/10/11,10,11,-1,-1.29511
YNR027W,12,12/09/11,3,10,-1,-1.69543
YOL052C,12,12/09/11,3,11,-1,-16.78431
YOR140W,12,12/09/11,8,5,-1,-18.50754
YOR031W,12,12/09/11,8,18,-1,-19.51828
YOL088C,12,12/09/11,9,21,-1,-13.63789
YPL047W,13,12/11/11,2,22,-1,-20.61588
YPL178W,13,12/11/11,4,13,-1,-21.22276
YPL113C,13,12/11/11,10,14,-1,-20.83808
YPL041C,13,12/11/11,15,5,-1,-6.19397
YGR122W,14,12/11/11,2,10,-1,-17.98432
YPR023C,14,12/11/11,7,10,-1,-18.80320
YPR173C,14,12/11/11,11,21,-1,-2.60685
YBL025W,1,11/29/11,3,13,-1,-9.63831
YBL024W,1,11/29/11,3,15,-1,-6.49257
YBR151W,1,11/29/11,4,5,-1,-12.24591
YBR043C,1,11/29/11,4,6,-1,-1.45373
YBR093C,1,11/29/11,12,18,-1,-18.15394
YDL089W,2,11/29/11,2,5,-1,-0.61035
YDL085W,2,11/29/11,2,11,-1,-1.30804
YCR095C,2,11/29/11,6,16,-1,-18.19855
YBR260C,2,11/29/11,7,16,-1,-10.85727
YBR272C,2,11/29/11,9,18,-1,-18.20266
YDR080W,3,11/19/11,3,13,-1,-1.77181
YDR245W,3,11/19/11,8,14,-1,-0.87033
YDR360W,3,11/19/11,8,17,-1,-0.22665
