ORF,distance,meta
YML097C,60.3483215986,(10, 12/10/11, 7, 15)
YKL119C,59.0380343066,(S1, 11/19/11, 12, 7)
YGR105W,56.0690983617,(add4, 4/26/12, 7, 12)
YPL234C,54.3920406605,(S2, 12/11/11, 7, 9)
YBR131W,51.6072871444,(1, 11/29/11, 2, 11, 51.607287144405149)
YOL001W,51.1649975951,(TS1-RT, 12/01/11, 13, 12)
YDL077C,47.7051748551,(2, 11/29/11, 14, 2, 47.705174855134793)
YOR292C,47.5796646779,(rmkDM, 06/19/12, 8, 3, 14.843527803100615),(13, 12/11/11, 13, 16, 80.315801552636103)
YLR298C,47.0969069732,(TS3-RT, 12/02/11, 2, 3)
YDR323C,46.2270387097,(S2, 12/11/11, 14, 22)
YGR020C,46.2239552224,(S1, 11/19/11, 13, 10)
YJL029C,44.2285463491,(14, 12/11/11, 8, 13)
YPR173C,43.135066096,(14, 12/11/11, 11, 21)
YKL041W,42.7346947129,(8, 11/30/11, 13, 6)
YHR060W,42.7329516034,(S1, 11/19/11, 7, 12)
YMR123W,40.8542199514,(rmkDM, 06/18/12, 13, 22)
YIL046W,40.7012747238,(TS2-37, 12/01/11, 10, 19)
YOR198C,39.6169225154,(S1, 11/19/11, 4, 13)
YBR131W,39.4121059341,(TS3-RT, 12/02/11, 8, 5)
YPR060C,39.1828559779,(14, 12/11/11, 11, 4)
YGL124C,38.6843774179,(rmkDM, 06/18/12, 13, 14, 25.918097045879705),(5, 11/30/11, 7, 11, 51.450657789876047)
YER151C,38.6181561805,(add1, 4/26/12, 4, 18, 40.950677150185797),(rmkDM, 06/19/12, 2, 4, 24.958403564171419),(4, 11/29/11, 2, 13, 49.945387827102302)
YGL173C,38.5691133628,(5, 11/30/11, 13, 7)
YOR204W,38.3140462561,(TS4-37, 12/02/11, 3, 15)
YEL009C,38.2762777343,(S1, 11/19/11, 13, 12)
YLR386W,38.1749254337,(rmkDM, 06/19/12, 6, 16, 28.293617843456936),(9, 12/09/11, 10, 5, 48.056233024007383)
YOL001W,38.0953627188,(TS1-37, 12/01/11, 13, 12)
YLR058C,38.0600934963,(9, 12/09/11, 13, 14)
YFR031C,37.7606894013,(TS2-37, 12/01/11, 3, 13)
YHR036W,37.2216138671,(TS3-RT, 12/02/11, 4, 4)
YOR254C,36.9612308462,(TS2-RT, 12/01/11, 8, 13)
YBL025W,36.8065932901,(1, 11/29/11, 3, 13)
YDR179W-A,36.6073512451,(3, 11/19/11, 2, 22)
YER116C,36.5732610387,(TS2-RT, 12/01/11, 8, 3)
YKL048C,36.3590543015,(TS4-RT, 12/02/11, 14, 11)
YAR015W,36.1287928848,(1, 11/29/11, 11, 10)
YDR408C,36.0080298491,(3, 11/19/11, 14, 21)
YER061C,35.9851990278,(4, 11/29/11, 4, 14)
YFR031C,35.949623937,(TS2-RT, 12/01/11, 3, 13)
YLR079W,35.6906703566,(9, 12/09/11, 15, 14)
YOR204W,35.5393595289,(TS4-RT, 12/02/11, 3, 15)
YFL039C,35.4283428399,(TS4-RT, 12/02/11, 3, 3)
YMR224C,35.413481094,(10, 12/10/11, 12, 3, 35.413481093989141)
YOL001W,34.8851670672,(add1, 4/26/12, 10, 12, 34.885167067180227)
YER119C-A,34.7743387993,(4, 11/29/11, 12, 10)
YDL077C,34.3158518044,(TS4-37, 12/02/11, 2, 17)
YML001W,34.1486008586,(TS2-37, 12/01/11, 4, 5)
YLR440C,34.0029893041,(TS3-37, 12/02/11, 12, 23)
YDR245W,33.8508248637,(3, 11/19/11, 8, 14, 33.850824863676863)
YML012C-A,33.7889509632,(10, 12/10/11, 11, 12)
YBR106W,33.6138020893,(1, 11/29/11, 14, 20)
YDR359C,33.5297724922,(add1, 4/26/12, 2, 11, 24.217441025470325),(3, 11/19/11, 8, 19, 42.842103958989227)
YDR157W,33.3941962597,(3, 11/19/11, 13, 5)
YOR068C,33.2028610307,(rmkDM, 06/19/12, 8, 13, 23.457899519769228),(12, 12/09/11, 12, 4, 42.947822541614805)
YLR119W,33.201179357,(TS3-RT, 12/02/11, 9, 19)
YIR023W,33.170195644,(7, 11/30/11, 5, 21)
YPL261C,33.1548132258,(add1, 4/26/12, 15, 12)
YBL051C,33.0995877407,(1, 11/29/11, 5, 5)
YER111C,32.9925968458,(4, 11/29/11, 10, 4)
YKL095W,32.9790587037,(TS4-37, 12/02/11, 14, 23)
YDL098C,32.7918986371,(TS1-37, 12/01/11, 7, 23)
YLR360W,32.673221669,(rmkDM, 06/19/12, 4, 4, 20.898475301362204),(9, 12/09/11, 6, 3, 44.447968036679534)
YOR069W,32.550198475,(rmkDM, 06/18/12, 5, 7, 23.255953874384939),(12, 12/09/11, 12, 2, 41.844443075587954)
YJL204C,32.5321514957,(7, 11/30/11, 2, 23)
YLR078C,32.4898318773,(TS2-37, 12/01/11, 2, 16)
YKR037C,32.4879208443,(TS1-37, 12/01/11, 15, 7)
YDR455C,32.3174515109,(add4, 4/26/12, 5, 9, 30.523447792563044),(rmkDM, 06/19/12, 8, 22, 24.217231909232844),(4, 11/29/11, 5, 6, 42.211674830815348)
YFL039C,32.3124205696,(TS3-RT, 12/02/11, 10, 19)
YDL132W,32.2271748741,(TS1-RT, 12/01/11, 9, 15)
YNL006W,32.20341272,(TS4-RT, 12/02/11, 15, 12)
YML001W,32.178196998,(TS2-RT, 12/01/11, 4, 5)
YLL006W,32.0565605654,(8, 11/30/11, 10, 13)
YHR188C,32.0277125632,(TS2-37, 12/01/11, 12, 22)
YNL241C,31.9544900477,(rmkDM, 06/18/12, 9, 21, 29.780295140243393),(11, 12/10/11, 14, 10, 34.12868495511519)
YDR080W,31.8215066731,(add4, 4/26/12, 2, 20, 37.157138779237272),(rmkDM, 06/18/12, 7, 7, 26.269362190787511),(rmkDM, 06/19/12, 8, 18, 20.374827395154963),(3, 11/19/11, 3, 13, 43.484698327241404)
YOR132W,31.6456600978,(rmkDM, 06/19/12, 4, 19, 25.115231723130993),(12, 12/09/11, 8, 21, 38.176088472387356)
YOL081W,31.6214476756,(add1, 4/26/12, 6, 14, 49.993836473398048),(rmkDM, 06/19/12, 10, 12, 13.249058877766707)
YPL180W,31.493584968,(add4, 4/26/12, 7, 16)
YDR123C,31.4914103808,(3, 11/19/11, 9, 15, 31.491410380834623)
YCR034W,31.4668324147,(rmkDM, 06/19/12, 4, 9, 21.851896009278281),(2, 11/29/11, 13, 7, 41.081768820073506)
YLR338W,31.2096571601,(9, 12/09/11, 4, 13)
YOR264W,31.1568767485,(add1, 4/26/12, 15, 21)
YBR131W,30.9597529166,(TS3-37, 12/02/11, 8, 5)
YFR019W,30.7125046646,(rmkDM, 06/18/12, 7, 12, 19.776140885517957),(5, 11/30/11, 3, 8, 41.648868443749386)
YDR126W,30.5763010373,(TS3-RT, 12/02/11, 13, 13)
YBR135W,30.540560706,(TS4-37, 12/02/11, 13, 19)
YNL316C,30.5378271943,(11, 12/10/11, 8, 5)
YLR320W,30.4558335369,(9, 12/09/11, 2, 17)
YBR160W,30.4443737091,(TS1-37, 12/01/11, 3, 4)
YKL048C,30.4378764265,(rmkDM, 06/18/12, 3, 15, 13.699219605166878),(8, 11/30/11, 15, 18, 47.17653324789886)
