ORF,distance,meta
YPL013C,752.913557096,(S2, 12/11/11, 7, 13)
YCR014C,635.552762085,(2, 11/29/11, 11, 23)
YCR020C,625.429571864,(2, 11/29/11, 11, 13)
YPL130W,613.92974749,(add4, 4/26/12, 2, 3)
YCR022C,574.969233548,(2, 11/29/11, 11, 7)
YCR048W,563.044732345,(2, 11/29/11, 15, 17)
YCL057W,560.282840381,(2, 11/29/11, 7, 15)
YCR050C,557.149156693,(2, 11/29/11, 15, 13)
YEL041W,550.265300818,(4, 11/29/11, 7, 13)
YFL018C,528.951562055,(4, 11/29/11, 8, 11)
YCR045C,514.90545976,(2, 11/29/11, 15, 19)
YCR023C,497.271334021,(2, 11/29/11, 11, 5)
YCL046W,495.061709598,(2, 11/29/11, 5, 9)
YBR061C,484.060397596,(1, 11/29/11, 8, 20)
YBL091C-A,482.565287225,(1, 11/29/11, 11, 5)
YCR001W,477.161041164,(2, 11/29/11, 9, 17)
YBL095W,465.423191984,(1, 11/29/11, 13, 23)
YBR101C,464.413993893,(1, 11/29/11, 12, 6)
YKL119C,452.723039423,(S1, 11/19/11, 12, 7)
YAL037W,441.031520273,(1, 11/29/11, 7, 18)
YPL234C,440.700852704,(S2, 12/11/11, 7, 9)
YAR037W,430.215451221,(1, 11/29/11, 13, 12)
YBL082C,428.893017973,(1, 11/29/11, 11, 21)
YCR030C,423.949145846,(2, 11/29/11, 13, 15)
YNL071W,418.596844043,(TS4-37, 12/02/11, 15, 18)
YAL040C,418.431088825,(1, 11/29/11, 7, 16)
YBR120C,415.216749403,(S1, 11/19/11, 4, 22)
YBR160W,413.982753168,(TS4-37, 12/02/11, 7, 3)
YCR020C-A,399.461211004,(2, 11/29/11, 11, 11)
YAL045C,396.540499257,(1, 11/29/11, 7, 10)
YBR299W,390.80510547,(14, 12/11/11, 12, 16)
YHR060W,390.464307511,(S1, 11/19/11, 7, 12)
YDR527W,386.330550571,(TS1-37, 12/01/11, 8, 2)
YBR160W,385.182353176,(TS1-37, 12/01/11, 3, 4)
YER116C,385.002932046,(TS2-RT, 12/01/11, 8, 3)
YBR083W,381.904054072,(1, 11/29/11, 10, 8)
YNR031C,380.98641495,(12, 12/09/11, 3, 2)
YCL060C,380.296492223,(2, 11/29/11, 7, 13)
YBR160W,376.76260117,(TS4-RT, 12/02/11, 7, 3)
YKR037C,375.805554571,(TS1-37, 12/01/11, 15, 7)
YBR074W,375.133547916,(1, 11/29/11, 10, 18)
YBL106C,374.098148794,(1, 11/29/11, 13, 7)
YBL102W,373.180142682,(1, 11/29/11, 13, 13)
YBR065C,372.263412304,(1, 11/29/11, 8, 12)
YCR037C,371.315841829,(2, 11/29/11, 13, 3)
YML061C,370.586745851,(S2, 12/11/11, 9, 11)
YAR002C-A,367.341996845,(1, 11/29/11, 11, 18)
YBR135W,365.66023181,(TS4-37, 12/02/11, 13, 19)
YPL072W,365.107000498,(14, 12/11/11, 8, 14)
YBR005W,358.722669289,(1, 11/29/11, 15, 23)
YBR054W,358.372856463,(1, 11/29/11, 6, 8)
YGR020C,355.330529465,(S1, 11/19/11, 13, 10)
YFL063W,355.266489387,(14, 12/11/11, 14, 20)
YLR083C,354.88910638,(9, 12/09/11, 15, 6)
YNL146W,354.603477872,(11, 12/10/11, 2, 2)
YEL025C,353.655438663,(4, 11/29/11, 5, 9)
YBL056W,353.258609337,(1, 11/29/11, 7, 17)
YLR326W,353.25642114,(9, 12/09/11, 2, 11)
YMR111C,349.895164252,(10, 12/10/11, 10, 10)
YLR026C,349.46273295,(TS1-37, 12/01/11, 10, 2)
YAL066W,348.460572848,(1, 11/29/11, 9, 2)
YGR180C,344.735508219,(S2, 12/11/11, 2, 13)
YOR094W,343.262831107,(12, 12/09/11, 2, 5)
YDL103C,342.861668726,(TS1-37, 12/01/11, 8, 18)
YGR193C,340.414027469,(6, 11/30/11, 5, 6)
YBL043W,339.255590707,(1, 11/29/11, 5, 15)
YOL110W,339.021706888,(12, 12/09/11, 11, 9)
YLR330W,334.577780634,(9, 12/09/11, 2, 3)
YOR083W,332.149707503,(12, 12/09/11, 14, 4)
YCL039W,330.729795358,(2, 11/29/11, 5, 19)
YAL059W,330.643505152,(1, 11/29/11, 9, 14)
YDR245W,329.280161736,(TS2-RT, 12/01/11, 5, 18)
YCL042W,327.139609345,(2, 11/29/11, 5, 15)
YLR395C,326.783608717,(9, 12/09/11, 12, 7)
YEL067C,326.281962815,(add4, 4/26/12, 6, 8, 193.31533714270552),(4, 11/29/11, 11, 21, 459.24858848685312)
YBR056W,325.980763064,(1, 11/29/11, 6, 6)
YDR518W,321.558272628,(S1, 11/19/11, 14, 18)
YDR192C,320.862228247,(3, 11/19/11, 2, 8)
YOR014W,320.303387437,(rmkDM, 06/19/12, 12, 2, 325.32749594629655),(12, 12/09/11, 4, 6, 315.27927892754815)
YKL166C,319.506135316,(8, 11/30/11, 15, 7)
YML035C-A,319.361536095,(10, 12/10/11, 15, 20)
YOL001W,318.493790783,(add1, 4/26/12, 10, 12, 318.4937907828263)
YBR060C,316.908441742,(TS1-37, 12/01/11, 3, 23)
YOR264W,316.899089334,(add1, 4/26/12, 15, 21)
YOR037W,316.580801961,(12, 12/09/11, 8, 8)
YCL074W,315.856652544,(2, 11/29/11, 9, 23)
YDR236C,314.634844199,(TS1-37, 12/01/11, 7, 17)
YDR204W,314.077052293,(S2, 12/11/11, 5, 2, 323.04679419148567),(S2, 12/11/11, 8, 10, 305.10731039393113)
YOL072W,311.906058587,(S1, 11/19/11, 5, 15)
YMR116C,310.758715925,(rmkDM, 06/18/12, 3, 10, 292.5824683133448),(10, 12/10/11, 10, 4, 328.93496353693337)
YML037C,310.54358677,(10, 12/10/11, 15, 16)
YOR080W,310.304145374,(rmkDM, 06/18/12, 13, 16, 355.49730715257198),(12, 12/09/11, 14, 10, 265.11098359610969)
YER163C,310.183224955,(4, 11/29/11, 4, 19)
YAR029W,308.665055502,(1, 11/29/11, 13, 20)
YPL137C,308.214123844,(13, 12/11/11, 12, 6)
YKL074C,306.344334357,(TS2-37, 12/01/11, 2, 9)
YBR068C,306.290439355,(1, 11/29/11, 8, 6)
YOR165W,306.13212031,(12, 12/09/11, 10, 3)
YKL095W,305.483419271,(TS4-37, 12/02/11, 14, 23)
YPR047W,305.325331273,(S1, 11/19/11, 12, 15, 163.55413559700219),(S1, 11/19/11, 15, 21, 447.09652694865878)
YLR099C,303.643329434,(9, 12/09/11, 5, 23)
