ORF,plate,date,row,col,distance
YOR202W,8,11/30/11,2,1,41.5986
YOR202W,14,12/11/11,1,11,39.9305
YOR202W,7,11/30/11,16,20,36.6053
YOR202W,TS2-37,12/01/11,13,24,34.5695
YOR202W,12,12/09/11,12,1,33.3613
YOR202W,14,12/11/11,1,3,32.4205
YOR202W,3,11/19/11,16,7,32.3960
YOR202W,11,12/10/11,12,1,30.5156
YOR202W,10,12/10/11,16,6,30.5013
YOR202W,TS2-RT,12/01/11,16,10,29.5839
YOR202W,1,11/29/11,1,10,29.3784
YOR202W,2,11/29/11,1,20,29.2431
YOR202W,14,12/11/11,1,1,29.1287
YOR202W,TS3-37,12/02/11,7,24,28.3268
YOR202W,12,12/09/11,16,18,28.1290
YOR202W,S1,11/19/11,16,20,27.8696
YOR202W,TS2-RT,12/01/11,7,1,27.7558
YOR202W,1,11/29/11,1,13,27.6257
YOR202W,4,11/29/11,14,24,27.5949
YOR202W,7,11/30/11,6,24,27.5086
YOR202W,TS4-RT,12/02/11,16,20,27.4554
YOR202W,TS3-RT,12/02/11,16,23,27.2831
YOR202W,1,11/29/11,1,18,27.1842
YOR202W,8,11/30/11,10,1,27.0504
YOR202W,TS3-37,12/02/11,2,1,26.6954
YOR202W,2,11/29/11,1,15,26.6558
YOR202W,5,11/30/11,16,5,26.4605
YOR202W,S1,11/19/11,4,24,26.4225
YOR202W,TS2-37,12/01/11,1,12,26.3432
YOR202W,10,12/10/11,1,13,26.3226
YOR202W,5,11/30/11,11,24,26.1425
YOR202W,rmkDM,06/19/12,16,24,25.7518
YOR202W,7,11/30/11,16,1,25.7329
YOR202W,TS1-RT,12/01/11,16,17,25.5675
YOR202W,3,11/19/11,1,10,25.5481
YOR202W,add1,4/26/12,16,12,25.5475
YOR202W,6,11/30/11,16,24,25.4652
YOR202W,TS4-RT,12/02/11,12,24,25.4335
YOR202W,7,11/30/11,4,24,25.4223
YOR202W,TS3-RT,12/02/11,1,7,25.2655
YOR202W,12,12/09/11,5,1,25.0820
YOR202W,TS2-37,12/01/11,1,16,25.0354
YOR202W,7,11/30/11,16,5,25.0045
YOR202W,TS4-RT,12/02/11,16,12,24.9525
YOR202W,S2,12/11/11,14,24,24.8952
YOR202W,TS1-RT,12/01/11,7,1,24.7230
YOR202W,6,11/30/11,16,4,24.6610
YOR202W,5,11/30/11,16,23,24.5855
YOR202W,S2,12/11/11,4,23,24.2452
YOR202W,S1,11/19/11,16,7,24.2355
YOR202W,S2,12/11/11,3,24,24.1268
YOR202W,8,11/30/11,5,1,24.1203
YOR202W,9,12/09/11,16,18,24.1114
YOR202W,TS4-37,12/02/11,16,20,24.0906
YOR202W,8,11/30/11,16,20,24.0147
YOR202W,TS2-RT,12/01/11,16,16,23.9774
YOR202W,1,11/29/11,13,24,23.9062
YOR202W,add4,4/26/12,16,24,23.8621
YOR202W,11,12/10/11,2,24,23.7713
YOR202W,11,12/10/11,9,24,23.6493
YOR202W,S2,12/11/11,4,20,23.6200
YOR202W,TS4-37,12/02/11,1,9,23.5883
YOR202W,TS4-37,12/02/11,1,7,23.4389
YOR202W,14,12/11/11,16,8,23.3611
YOR202W,8,11/30/11,8,24,23.3102
YOR202W,7,11/30/11,2,1,23.2881
YOR202W,add1,4/26/12,2,1,23.2592
YOR202W,6,11/30/11,1,9,23.2423
YOR202W,S1,11/19/11,6,1,23.2280
YOR202W,S2,12/11/11,15,1,23.0931
YOR202W,11,12/10/11,1,1,23.0485
YOR202W,add1,4/26/12,4,1,22.8528
YOR202W,TS3-RT,12/02/11,1,21,22.7079
YOR202W,S1,11/19/11,16,14,22.4764
YOR202W,1,11/29/11,16,2,22.3331
YOR202W,TS2-RT,12/01/11,12,24,22.2817
YOR202W,6,11/30/11,6,1,22.2523
YOR202W,14,12/11/11,1,9,22.2500
YOR202W,S1,11/19/11,16,2,22.2347
YOR202W,TS4-RT,12/02/11,14,24,22.2168
YOR202W,11,12/10/11,1,15,22.0966
YOR202W,6,11/30/11,16,14,22.0757
YOR202W,add4,4/26/12,16,9,22.0404
YOR202W,TS4-RT,12/02/11,16,24,21.9591
YOR202W,TS3-37,12/02/11,16,22,21.9357
YOR202W,add4,4/26/12,16,21,21.9093
YOR202W,TS1-37,12/01/11,1,1,21.8454
YOR202W,3,11/19/11,1,1,21.8403
YOR202W,add1,4/26/12,8,1,21.8360
YOR202W,S2,12/11/11,9,23,21.7777
YOR202W,2,11/29/11,2,1,21.7680
YOR202W,TS3-37,12/02/11,16,1,21.7507
YOR202W,9,12/09/11,1,24,21.7327
YOR202W,5,11/30/11,1,9,21.6988
YOR202W,10,12/10/11,11,1,21.6871
YOR202W,6,11/30/11,16,5,21.6775
YOR202W,10,12/10/11,1,5,21.6366
YOR202W,6,11/30/11,12,24,21.5820
YOR202W,add1,4/26/12,16,2,21.5340
YOR202W,11,12/10/11,8,24,21.4889
YOR202W,4,11/29/11,6,1,21.4341
YOR202W,S1,11/19/11,2,21,21.4300
YOR202W,6,11/30/11,2,1,21.3432
YOR202W,TS4-RT,12/02/11,1,24,21.2256
YOR202W,S1,11/19/11,1,6,21.2174
YOR202W,S2,12/11/11,8,1,21.2118
YOR202W,TS1-37,12/01/11,15,24,21.1609
YOR202W,TS2-RT,12/01/11,16,6,21.1113
YOR202W,3,11/19/11,16,24,21.1041
YOR202W,10,12/10/11,1,23,21.0805
YOR202W,S2,12/11/11,5,8,21.0589
YOR202W,rmkDM,06/18/12,1,13,21.0520
YOR202W,TS3-37,12/02/11,13,24,20.9945
YOR202W,8,11/30/11,3,24,20.9858
YOR202W,TS4-RT,12/02/11,1,10,20.9119
YOR202W,S2,12/11/11,2,11,20.8844
YOR202W,3,11/19/11,2,24,20.8441
YOR202W,add4,4/26/12,1,22,20.7827
YOR202W,rmkDM,06/18/12,1,12,20.7749
YOR202W,9,12/09/11,1,10,20.7580
YOR202W,S1,11/19/11,2,24,20.7142
YOR202W,TS1-37,12/01/11,16,1,20.6480
YOR202W,TS2-37,12/01/11,5,24,20.6460
YOR202W,5,11/30/11,7,1,20.6237
YOR202W,TS2-RT,12/01/11,11,24,20.5931
YOR202W,TS4-RT,12/02/11,16,2,20.5802
YOR202W,10,12/10/11,1,2,20.5682
YOR202W,7,11/30/11,15,1,20.5280
YOR202W,TS2-RT,12/01/11,10,1,20.5235
YOR202W,TS2-RT,12/01/11,16,1,20.5144
YOR202W,TS1-RT,12/01/11,1,2,20.4647
YOR202W,S2,12/11/11,16,7,20.4558
YOR202W,add4,4/26/12,2,1,20.4426
YOR202W,TS4-37,12/02/11,16,17,20.4357
YOR202W,add4,4/26/12,12,1,20.3947
YOR202W,5,11/30/11,6,1,20.3797
YOR202W,10,12/10/11,9,1,20.3711
YOR202W,TS4-RT,12/02/11,1,8,20.3605
YOR202W,10,12/10/11,5,1,20.3512
YOR202W,add1,4/26/12,5,24,20.3470
YOR202W,10,12/10/11,16,20,20.3287
YOR202W,TS4-37,12/02/11,7,1,20.3142
YOR202W,S1,11/19/11,16,1,20.3126
YOR202W,2,11/29/11,1,17,20.3093
YOR202W,TS3-37,12/02/11,16,21,20.2985
YOR202W,rmkDM,06/18/12,1,5,20.2870
YOR202W,7,11/30/11,1,23,20.2757
YOR202W,12,12/09/11,1,6,20.2733
YOR202W,S1,11/19/11,1,11,20.2722
YOR202W,rmkDM,06/19/12,16,2,20.1887
YOR202W,S1,11/19/11,16,11,20.1621
YOR202W,TS4-RT,12/02/11,16,10,20.1621
YOR202W,1,11/29/11,1,17,20.1366
YOR202W,1,11/29/11,16,16,20.1268
YOR202W,2,11/29/11,1,12,20.1081
YOR202W,S1,11/19/11,13,2,20.0750
YOR202W,TS4-RT,12/02/11,1,12,20.0674
YOR202W,TS4-37,12/02/11,16,2,20.0668
YOR202W,11,12/10/11,7,24,20.0629
YOR202W,12,12/09/11,1,16,20.0247
YOR202W,TS3-RT,12/02/11,6,24,19.9341
YOR202W,1,11/29/11,1,15,19.9010
YOR202W,TS1-RT,12/01/11,16,21,19.8752
YOR202W,3,11/19/11,12,1,19.8749
YOR202W,6,11/30/11,1,20,19.8534
YOR202W,TS3-RT,12/02/11,1,20,19.8385
