ORF,plate,date,row,col,distance
YOR202W,1,11/29/11,13,24,998.7206
YOR202W,12,12/09/11,12,1,937.0938
YOR202W,1,11/29/11,16,22,662.6635
YOR202W,3,11/19/11,1,23,617.9811
YOR202W,TS1-37,12/01/11,16,22,572.8668
YOR202W,1,11/29/11,9,1,542.8703
YOR202W,9,12/09/11,2,1,526.8261
YOR202W,9,12/09/11,10,1,489.6189
YOR202W,10,12/10/11,7,24,484.3891
YOR202W,14,12/11/11,16,22,480.4327
YOR202W,9,12/09/11,16,1,474.7344
YOR202W,13,12/11/11,1,23,467.6392
YOR202W,12,12/09/11,6,1,464.1768
YOR202W,9,12/09/11,6,1,461.0685
YOR202W,1,11/29/11,11,1,449.4227
YOR202W,TS1-37,12/01/11,1,3,449.3149
YOR202W,1,11/29/11,1,2,437.2813
YOR202W,TS1-37,12/01/11,16,8,436.7786
YOR202W,1,11/29/11,15,24,425.5945
YOR202W,TS2-37,12/01/11,7,24,424.1998
YOR202W,9,12/09/11,8,1,420.6896
YOR202W,9,12/09/11,3,24,410.7692
YOR202W,TS1-37,12/01/11,16,24,402.7010
YOR202W,1,11/29/11,16,2,400.9421
YOR202W,1,11/29/11,10,24,386.0907
YOR202W,TS1-37,12/01/11,1,20,376.4578
YOR202W,1,11/29/11,16,6,372.5601
YOR202W,10,12/10/11,15,24,369.1807
YOR202W,9,12/09/11,15,1,366.2030
YOR202W,9,12/09/11,1,15,360.0866
YOR202W,TS1-37,12/01/11,1,15,355.4724
YOR202W,TS1-37,12/01/11,1,11,351.5336
YOR202W,TS3-37,12/02/11,4,24,351.3417
YOR202W,1,11/29/11,16,18,351.2281
YOR202W,TS3-RT,12/02/11,16,21,350.6316
YOR202W,13,12/11/11,1,19,350.3487
YOR202W,TS1-37,12/01/11,1,23,350.0986
YOR202W,1,11/29/11,4,24,346.9299
YOR202W,14,12/11/11,16,2,346.2684
YOR202W,add4,4/26/12,10,24,337.9006
YOR202W,S1,11/19/11,4,2,337.4723
YOR202W,9,12/09/11,15,24,337.2361
YOR202W,TS1-37,12/01/11,16,6,337.2102
YOR202W,TS1-37,12/01/11,7,24,336.4707
YOR202W,add4,4/26/12,16,23,335.7284
YOR202W,TS1-37,12/01/11,1,6,335.4267
YOR202W,TS4-37,12/02/11,15,1,334.6696
YOR202W,1,11/29/11,15,1,328.9051
YOR202W,TS4-37,12/02/11,5,24,324.8084
YOR202W,1,11/29/11,1,3,322.4861
YOR202W,add4,4/26/12,15,24,318.6389
YOR202W,12,12/09/11,1,1,316.1303
YOR202W,S1,11/19/11,5,24,309.3276
YOR202W,11,12/10/11,15,1,307.7115
YOR202W,TS3-37,12/02/11,16,24,304.3889
YOR202W,TS4-37,12/02/11,8,24,304.2743
YOR202W,S1,11/19/11,8,10,303.6885
YOR202W,S1,11/19/11,6,20,302.0865
YOR202W,TS3-RT,12/02/11,16,15,301.2048
YOR202W,TS4-37,12/02/11,1,24,300.5668
YOR202W,1,11/29/11,16,8,300.4721
YOR202W,TS1-37,12/01/11,1,16,299.8197
YOR202W,add1,4/26/12,12,1,299.1413
YOR202W,TS1-37,12/01/11,14,24,297.4658
YOR202W,add4,4/26/12,16,24,295.3352
YOR202W,TS1-37,12/01/11,16,4,293.7786
YOR202W,1,11/29/11,5,24,293.3086
YOR202W,10,12/10/11,9,24,290.0023
YOR202W,TS4-37,12/02/11,1,22,288.7388
YOR202W,TS1-37,12/01/11,1,17,288.0967
YOR202W,TS4-37,12/02/11,15,24,287.6423
YOR202W,2,11/29/11,15,24,287.4735
YOR202W,add1,4/26/12,4,1,285.7158
YOR202W,2,11/29/11,15,1,284.6923
YOR202W,13,12/11/11,6,24,283.4914
YOR202W,add4,4/26/12,16,15,283.3668
YOR202W,S1,11/19/11,3,24,281.7442
YOR202W,S1,11/19/11,3,22,278.6932
YOR202W,S2,12/11/11,8,9,278.0406
YOR202W,TS1-37,12/01/11,9,1,277.1003
YOR202W,9,12/09/11,12,1,276.9776
YOR202W,TS2-37,12/01/11,1,3,275.2467
YOR202W,12,12/09/11,16,1,274.0970
YOR202W,TS1-37,12/01/11,4,24,273.9144
YOR202W,add1,4/26/12,8,1,272.6882
YOR202W,TS3-RT,12/02/11,16,23,272.4640
YOR202W,9,12/09/11,1,23,271.2450
YOR202W,S2,12/11/11,7,11,270.2980
YOR202W,10,12/10/11,16,24,267.8861
YOR202W,S1,11/19/11,12,24,267.0462
YOR202W,TS4-37,12/02/11,1,15,264.8848
YOR202W,1,11/29/11,11,24,263.9849
YOR202W,11,12/10/11,13,24,263.8512
YOR202W,14,12/11/11,16,12,263.2183
YOR202W,11,12/10/11,1,20,263.0045
YOR202W,S1,11/19/11,16,24,262.5682
YOR202W,TS4-37,12/02/11,1,6,262.2627
YOR202W,S1,11/19/11,13,24,260.5560
YOR202W,TS1-37,12/01/11,1,9,258.7583
YOR202W,3,11/19/11,16,22,258.3897
YOR202W,TS1-37,12/01/11,1,21,258.0865
YOR202W,11,12/10/11,1,1,256.7817
YOR202W,S1,11/19/11,2,24,256.2631
YOR202W,2,11/29/11,5,24,256.1267
YOR202W,S1,11/19/11,11,24,255.7699
YOR202W,6,11/30/11,15,24,255.0833
YOR202W,3,11/19/11,16,17,254.9480
YOR202W,TS3-37,12/02/11,8,24,254.9303
YOR202W,14,12/11/11,1,3,254.4893
YOR202W,12,12/09/11,1,9,253.9263
YOR202W,9,12/09/11,16,19,253.8247
YOR202W,1,11/29/11,16,14,253.7440
YOR202W,S1,11/19/11,7,24,251.6531
YOR202W,10,12/10/11,13,24,251.0386
YOR202W,rmkDM,06/18/12,1,3,249.6236
YOR202W,3,11/19/11,16,23,249.3516
YOR202W,TS2-37,12/01/11,16,20,248.7902
YOR202W,TS4-37,12/02/11,16,5,247.9599
YOR202W,S1,11/19/11,1,2,247.2309
YOR202W,TS4-RT,12/02/11,1,18,246.8470
YOR202W,S1,11/19/11,10,6,245.3249
YOR202W,11,12/10/11,1,19,244.1967
YOR202W,add1,4/26/12,2,1,243.5874
YOR202W,3,11/19/11,11,24,243.1425
YOR202W,add1,4/26/12,14,24,242.7610
YOR202W,11,12/10/11,1,21,242.6076
YOR202W,3,11/19/11,15,24,242.4173
YOR202W,9,12/09/11,1,12,241.8850
YOR202W,S1,11/19/11,4,19,241.4022
YOR202W,9,12/09/11,16,2,240.6552
YOR202W,7,11/30/11,4,24,240.4200
YOR202W,TS1-37,12/01/11,16,18,239.8792
YOR202W,1,11/29/11,16,24,238.1092
YOR202W,13,12/11/11,1,24,237.3492
YOR202W,add4,4/26/12,16,1,236.7143
YOR202W,TS4-RT,12/02/11,16,15,236.5472
YOR202W,TS1-37,12/01/11,1,22,236.3920
YOR202W,14,12/11/11,16,23,236.3379
YOR202W,TS1-37,12/01/11,1,5,236.2888
YOR202W,9,12/09/11,16,21,236.0128
YOR202W,S1,11/19/11,9,9,235.7122
YOR202W,TS4-RT,12/02/11,2,1,234.3007
YOR202W,7,11/30/11,6,24,234.0909
YOR202W,TS2-37,12/01/11,16,23,233.6658
YOR202W,1,11/29/11,3,24,232.9221
YOR202W,TS1-37,12/01/11,1,19,232.9161
YOR202W,9,12/09/11,14,1,232.4185
